"date_by_mnth","sum_revenue"
"2017-01-01",9394
"2017-02-01",3040
"2017-03-01",33638
"2017-04-01",20108
"2017-05-01",13784
"2017-06-01",21739
"2017-07-01",23720
"2017-08-01",17536
"2017-09-01",45852
"2017-10-01",22021
"2017-11-01",48931
"2017-12-01",41632
"2018-01-01",11088
"2018-02-01",7400
"2018-03-01",21547
"2018-04-01",18971
"2018-05-01",19253
"2018-06-01",14764
"2018-07-01",19969
"2018-08-01",23499
"2018-09-01",41462
"2018-10-01",21726
"2018-11-01",52948
"2018-12-01",45949
"2019-01-01",12141
"2019-02-01",14067
"2019-03-01",36057
"2019-04-01",28246
"2019-05-01",36745
"2019-06-01",26777
"2019-07-01",25959
"2019-08-01",20535
"2019-09-01",41531
"2019-10-01",36558
"2019-11-01",52114
"2019-12-01",57208
"2020-01-01",25729
"2020-02-01",13416
"2020-03-01",37962
"2020-04-01",20114
"2020-05-01",28979
"2020-06-01",35985
"2020-07-01",27247
"2020-08-01",37409
"2020-09-01",55987
"2020-10-01",48273
"2020-11-01",74906
"2020-12-01",52241
