"product_nm","sum_revenue","sum_quantity","percent_from_total"
"Canon imageCLASS 2200 Advanced Copier",36959.82,20,2.56
"HON 5400 Series Task Chairs for Big and Tall",15309.53,39,1.06
"3D Systems Cube Printer, 2nd Generation, Magenta",14299.89,11,0.99
"High Speed Automatic Electric Letter Opener",13624.21,11,0.94
"Martin Yale Chadless Opener Electric Letter Opener",13325.0,22,0.92
"Cisco TelePresence System EX90 Videoconferencing Unit",11319.24,6,0.78
"Hewlett Packard LaserJet 3310 Copier",11303.69,38,0.78
"Samsung Galaxy Mega 6.3",11154.87,39,0.77
"Canon PC1060 Personal Laser Copier",9295.83,19,0.64
"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",9187.5,12,0.64
"Global Troy Executive Leather Low-Back Tilter",9082.87,32,0.63
"Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room",9043.55,40,0.63
"Tennsco 6- and 18-Compartment Lockers",8740.17,43,0.6
"Plantronics CS510 - Over-the-Head monaural Wireless Headset System",8657.89,35,0.6
"SAFCO Arco Folding Chair",8100.95,53,0.56
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",7805.48,24,0.54
"Apple iPhone 5",7798.0,24,0.54
"Tennsco Double-Tier Lockers",7704.86,47,0.53
"Ativa V4110MDD Micro-Cut Shredder",7699.89,11,0.53
"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",7446.44,51,0.51
"Tennsco Single-Tier Lockers",7326.59,28,0.51
"Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat",7019.5,28,0.49
"Zebra ZM400 Thermal Label Printer",6965.7,6,0.48
"Hot File 7-Pocket, Floor Stand",6510.77,49,0.45
"Bretford Rectangular Conference Table Tops",6497.82,46,0.45
