"state","city","count"
"New York","New York City",450
"California","Los Angeles",384
"California","San Francisco",265
"Pennsylvania","Philadelphia",265
"Washington","Seattle",212
"Texas","Houston",188
"Illinois","Chicago",171
"California","San Diego",88
"Texas","Dallas",80
"Ohio","Columbus",55
"Michigan","Detroit",53
"Georgia","Columbus",40
"Florida","Jacksonville",38
"Florida","Miami",34
"Delaware","Newark",29
"Arizona","Phoenix",29
"Texas","San Antonio",27
"Virginia","Springfield",25
"North Carolina","Charlotte",24
"North Carolina","Jacksonville",23
"Wisconsin","Milwaukee",23
"New York","Long Beach",22
"Maryland","Baltimore",21
"Ohio","Cleveland",21
"Virginia","Arlington",21
"Illinois","Aurora",20
"California","San Jose",20
"New York","Rochester",20
"Ohio","Springfield",19
"Texas","Austin",18
"Mississippi","Jackson",18
"Kentucky","Louisville",17
"Kentucky","Henderson",17
"Georgia","Atlanta",17
"Colorado","Denver",17
"Indiana","Columbus",16
"Tennessee","Nashville",16
"Ohio","Newark",16
"Ohio","Lancaster",15
"Ohio","Toledo",15
"Oregon","Springfield",15
"Oregon","Portland",15
"Colorado","Aurora",15
"Massachusetts","Lawrence",15
"Florida","Tampa",14
"Michigan","Jackson",14
"Missouri","Springfield",14
"Arizona","Mesa",14
"Nebraska","Omaha",14
"Indiana","Richmond",14
"Kentucky","Richmond",14
"Tennessee","Memphis",14
"Ohio","Lakewood",13
"California","Oakland",13
"Virginia","Richmond",13
"North Carolina","Raleigh",13
"Arizona","Tucson",13
"Minnesota","Minneapolis",13
"Arizona","Glendale",13
"Rhode Island","Providence",13
"Oklahoma","Tulsa",13
"Connecticut","Fairfield",12
"Texas","Fort Worth",12
"Indiana","Indianapolis",12
"Colorado","Louisville",12
"North Carolina","Fayetteville",12
"Ohio","Cincinnati",12
"Florida","Fort Lauderdale",12
"California","Pasadena",11
"California","Fresno",11
"New Jersey","Lakewood",11
"Virginia","Virginia Beach",11
"Oklahoma","Oklahoma City",11
"California","Long Beach",11
"South Carolina","Columbia",11
"Texas","Huntsville",10
"Ohio","Fairfield",10
"Virginia","Chesapeake",10
"Florida","Hialeah",10
"Ohio","Akron",10
"New Hampshire","Concord",10
"Maryland","Clinton",10
"Louisiana","Lafayette",10
"Tennessee","Columbia",10
"Tennessee","Knoxville",10
"Texas","El Paso",10
"Texas","Arlington",10
"Georgia","Roswell",9
"Maryland","Columbia",9
"Texas","Pasadena",9
"North Carolina","Wilmington",9
"Massachusetts","Franklin",9
"Colorado","Colorado Springs",9
"Florida","Tallahassee",9
"Delaware","Wilmington",9
"California","Riverside",9
"Illinois","Decatur",9
"Oregon","Salem",9
"California","Anaheim",9
"Illinois","Rockford",8
"Pennsylvania","Lancaster",8
"California","Sacramento",8
"Texas","Plano",8
"New York","Oceanside",8
"Florida","Hollywood",8
"California","Bakersfield",8
"California","Santa Ana",8
"Nevada","Las Vegas",8
"Massachusetts","Everett",8
"Ohio","Marion",8
"Texas","Carrollton",8
"North Carolina","Greensboro",8
"Arkansas","Fayetteville",8
"Minnesota","Rochester",8
"Ohio","Troy",8
"New York","Buffalo",7
"Texas","Amarillo",7
"New Jersey","Plainfield",7
"California","Roseville",7
"New Mexico","Albuquerque",7
"Arizona","Scottsdale",7
"Texas","Grand Prairie",7
"Connecticut","Middletown",7
"Nebraska","Fremont",7
"North Carolina","Burlington",7
"Indiana","Lafayette",7
"Alabama","Huntsville",7
"Massachusetts","Lowell",7
"Nevada","North Las Vegas",7
"Alabama","Decatur",7
"New York","Watertown",7
"North Carolina","Monroe",6
"Illinois","Quincy",6
"Delaware","Dover",6
"Florida","Orlando",6
"Illinois","Bloomington",6
"Arizona","Tempe",6
"Vermont","Burlington",6
"Tennessee","Chattanooga",6
"New Jersey","Paterson",6
"California","Concord",6
"Indiana","Lawrence",6
"Virginia","Alexandria",6
"Tennessee","Franklin",6
"Arizona","Chandler",6
"North Carolina","Asheville",6
"Arkansas","Little Rock",6
"New York","Troy",6
"Louisiana","Monroe",6
"Florida","Lakeland",6
"New York","Auburn",6
"Virginia","Salem",6
"Michigan","Grand Rapids",6
"Florida","Saint Petersburg",6
"California","Brentwood",6
"New York","Yonkers",6
"Alabama","Montgomery",6
"California","Lakewood",5
"Arizona","Gilbert",5
"Georgia","Athens",5
"Colorado","Fort Collins",5
"Connecticut","Waterbury",5
"Iowa","Des Moines",5
"Ohio","Dublin",5
"California","Moreno Valley",5
"Washington","Edmonds",5
"North Carolina","Durham",5
"California","Huntington Beach",5
"New Jersey","Morristown",5
"Washington","Des Moines",5
"Georgia","Smyrna",5
"Wisconsin","Franklin",5
"Rhode Island","Cranston",5
"Michigan","Midland",5
"Kansas","Wichita",5
"North Carolina","Concord",5
"Texas","Irving",5
"New York","Mount Vernon",5
"Washington","Spokane",5
"Tennessee","Jackson",5
"California","Stockton",5
"Arizona","Peoria",5
"North Carolina","Greenville",5
"New Mexico","Carlsbad",5
"Washington","Bellevue",5
"Illinois","Naperville",5
"Illinois","Skokie",5
"Utah","Salt Lake City",5
"Ohio","Lorain",5
"Utah","Orem",5
