"state","count"
"California",1021
"New York",562
"Texas",487
"Pennsylvania",288
"Illinois",276
"Washington",256
"Ohio",236
"Florida",200
"North Carolina",136
"Michigan",117
"Virginia",115
"Arizona",108
"Georgia",91
"Tennessee",91
"Colorado",79
"Indiana",73
"Massachusetts",62
"New Jersey",61
"Kentucky",61
"Oregon",56
"Wisconsin",53
"Maryland",46
"Connecticut",45
"Minnesota",44
"Delaware",44
"Alabama",34
"Oklahoma",34
"Missouri",30
"Arkansas",27
"Mississippi",26
"Utah",26
"Rhode Island",25
"Nebraska",23
"Nevada",23
"New Mexico",22
"Louisiana",21
"South Carolina",20
"New Hampshire",17
"Iowa",17
"Kansas",14
"Idaho",11
"Montana",8
"Vermont",6
"South Dakota",5
"District of Columbia",4
"Maine",3
"West Virginia",2
"North Dakota",2
"Wyoming",1
