"id","order_id","product_id","quantity","discount"
1,"CA-2014-100006","TEC-PH-10002075",3,0.00
2,"CA-2014-100090","OFF-BI-10001597",6,0.20
3,"CA-2014-100090","FUR-TA-10003715",3,0.20
4,"CA-2014-100293","OFF-PA-10000176",6,0.20
5,"CA-2014-100328","OFF-BI-10000343",1,0.20
6,"CA-2014-100363","OFF-PA-10004733",3,0.20
7,"CA-2014-100363","OFF-FA-10000611",2,0.20
8,"CA-2014-100391","OFF-PA-10001471",2,0.00
9,"CA-2014-100678","FUR-CH-10002602",3,0.30
10,"CA-2014-100678","TEC-AC-10000474",3,0.20
11,"CA-2014-100678","OFF-EN-10000056",3,0.20
12,"CA-2014-100678","OFF-AR-10001868",2,0.20
13,"CA-2014-100706","FUR-FU-10002268",6,0.00
14,"CA-2014-100706","TEC-AC-10001314",2,0.00
15,"CA-2014-100762","OFF-LA-10003930",2,0.00
16,"CA-2014-100762","OFF-PA-10004082",2,0.00
17,"CA-2014-100762","OFF-AR-10000380",4,0.00
18,"CA-2014-100762","OFF-PA-10001815",3,0.00
19,"CA-2014-100860","OFF-LA-10001982",5,0.00
20,"CA-2014-100867","TEC-PH-10004922",6,0.20
21,"CA-2014-100881","TEC-PH-10003273",3,0.20
22,"CA-2014-100895","OFF-AR-10004511",2,0.00
23,"CA-2014-100895","OFF-ST-10001490",2,0.00
24,"CA-2014-100895","TEC-PH-10001425",3,0.00
25,"CA-2014-100916","OFF-AR-10001022",1,0.00
26,"CA-2014-100916","OFF-ST-10003479",5,0.00
27,"CA-2014-100916","FUR-TA-10004607",4,0.00
28,"CA-2014-100972","OFF-PA-10000357",3,0.00
29,"CA-2014-101147","OFF-AP-10004249",1,0.80
30,"CA-2014-101175","OFF-ST-10004950",6,0.20
31,"CA-2014-101266","OFF-PA-10002986",2,0.00
32,"CA-2014-101364","OFF-BI-10003984",13,0.20
33,"CA-2014-101392","OFF-ST-10000532",7,0.00
34,"CA-2014-101427","OFF-AR-10002257",3,0.20
35,"CA-2014-101462","FUR-FU-10000409",4,0.00
36,"CA-2014-101476","TEC-MA-10000029",1,0.00
37,"CA-2014-101560","OFF-BI-10000309",3,0.00
38,"CA-2014-101560","OFF-AR-10004757",4,0.00
39,"CA-2014-101560","FUR-FU-10003773",5,0.00
40,"CA-2014-101560","OFF-PA-10001363",7,0.00
41,"CA-2014-101602","TEC-PH-10000169",3,0.20
42,"CA-2014-101602","FUR-CH-10004675",5,0.30
43,"CA-2014-101770","OFF-BI-10001097",1,0.70
44,"CA-2014-101833","OFF-PA-10003591",3,0.00
45,"CA-2014-101931","OFF-SU-10000646",2,0.00
46,"CA-2014-101931","OFF-ST-10003442",5,0.00
47,"CA-2014-101931","FUR-BO-10001337",6,0.15
48,"CA-2014-101931","OFF-SU-10002301",2,0.00
49,"CA-2014-101931","OFF-BI-10004140",2,0.20
50,"CA-2014-102008","OFF-PA-10004092",1,0.00
51,"CA-2014-102085","OFF-LA-10002475",4,0.00
52,"CA-2014-102274","OFF-PA-10004359",6,0.00
53,"CA-2014-102274","OFF-AR-10002833",3,0.00
54,"CA-2014-102274","TEC-PH-10002923",1,0.00
55,"CA-2014-102274","OFF-ST-10001511",3,0.00
56,"CA-2014-102295","FUR-CH-10001714",1,0.20
57,"CA-2014-102330","TEC-PH-10001051",4,0.20
58,"CA-2014-102330","OFF-LA-10003923",6,0.00
59,"CA-2014-102645","OFF-PA-10001804",6,0.00
60,"CA-2014-102652","OFF-PA-10003309",3,0.00
61,"CA-2014-102652","FUR-FU-10000747",2,0.00
62,"CA-2014-102652","FUR-FU-10001918",7,0.00
63,"CA-2014-102652","OFF-PA-10001977",1,0.00
64,"CA-2014-102673","OFF-AR-10000634",3,0.20
65,"CA-2014-102673","OFF-FA-10003021",5,0.20
66,"CA-2014-102673","OFF-LA-10001771",12,0.20
67,"CA-2014-102673","TEC-PH-10004434",9,0.20
68,"CA-2014-102869","OFF-PA-10000788",3,0.20
69,"CA-2014-102869","TEC-PH-10002549",1,0.40
70,"CA-2014-102869","FUR-FU-10002456",3,0.20
71,"CA-2014-102869","TEC-AC-10002134",6,0.20
72,"CA-2014-102988","TEC-PH-10001615",1,0.00
73,"CA-2014-102988","OFF-AR-10004757",7,0.00
74,"CA-2014-102988","OFF-AR-10000127",7,0.00
75,"CA-2014-102988","OFF-SU-10002881",5,0.00
76,"CA-2014-102988","OFF-PA-10003349",2,0.00
77,"CA-2014-103058","TEC-AC-10001314",2,0.00
78,"CA-2014-103086","FUR-FU-10004586",2,0.60
79,"CA-2014-103100","OFF-BI-10004600",3,0.00
80,"CA-2014-103100","OFF-LA-10003720",1,0.00
81,"CA-2014-103191","OFF-ST-10002574",3,0.20
82,"CA-2014-103219","FUR-FU-10004091",9,0.00
83,"CA-2014-103310","FUR-CH-10002320",1,0.20
84,"CA-2014-103310","OFF-PA-10004353",2,0.00
85,"CA-2014-103310","OFF-SU-10004737",6,0.00
86,"CA-2014-103310","TEC-PH-10001817",5,0.20
87,"CA-2014-103317","OFF-BI-10001787",5,0.70
88,"CA-2014-103317","FUR-FU-10003192",3,0.20
89,"CA-2014-103317","FUR-FU-10001591",2,0.20
90,"CA-2014-103331","OFF-PA-10002659",1,0.00
91,"CA-2014-103331","OFF-PA-10002160",3,0.00
92,"CA-2014-103331","FUR-FU-10001731",4,0.00
93,"CA-2014-103366","TEC-AC-10003628",5,0.00
94,"CA-2014-103373","TEC-PH-10002885",2,0.40
95,"CA-2014-103401","OFF-PA-10003309",2,0.00
96,"CA-2014-103429","TEC-PH-10003505",5,0.00
97,"CA-2014-103429","OFF-AP-10001005",3,0.00
98,"CA-2014-103429","OFF-PA-10001712",4,0.00
99,"CA-2014-103429","OFF-BI-10004233",2,0.20
100,"CA-2014-103492","TEC-PH-10001128",6,0.20
101,"CA-2014-103492","TEC-PH-10004667",7,0.20
102,"CA-2014-103492","OFF-BI-10004817",5,0.80
103,"CA-2014-103492","OFF-BI-10004140",1,0.80
