"order_id","order_date","ship_date","ship_mode","state","city","zip_code","cust_id"
"US-2014-144078","2017-11-25","2017-11-29","Standard Class","California","Los Angeles","90004","RB-19435"
"CA-2017-161823","2020-09-03","2020-09-08","Standard Class","California","San Francisco","94122","AG-10300"
"CA-2014-160773","2017-07-01","2017-07-05","Standard Class","Florida","Deltona","32725","LW-16825"
"US-2014-134054","2017-10-10","2017-10-10","Same Day","New Mexico","Albuquerque","87105","FC-14335"
"CA-2014-142965","2017-07-20","2017-07-20","Same Day","Ohio","Springfield","45503","SW-20245"
"CA-2016-130050","2019-07-16","2019-07-18","Second Class","Texas","Houston","77036","MC-17425"
"CA-2014-138240","2017-10-09","2017-10-14","Standard Class","California","San Francisco","94122","SJ-20500"
"CA-2014-105417","2017-01-07","2017-01-12","Standard Class","Texas","Huntsville","77340","VS-21820"
"US-2017-127719","2020-07-21","2020-07-25","Standard Class","New Jersey","Plainfield","7060","TW-21025"
"US-2014-165589","2017-02-18","2017-02-18","Same Day","Texas","Lubbock","79424","TB-21595"
"CA-2017-163265","2020-02-16","2020-02-21","Standard Class","Illinois","Decatur","62521","JS-16030"
"CA-2016-137337","2019-03-08","2019-03-12","Standard Class","New York","New York City","10011","GB-14575"
"CA-2016-127649","2019-10-07","2019-10-09","First Class","Washington","Spokane","99207","DL-13495"
"US-2017-118535","2020-02-11","2020-02-15","Standard Class","New York","New York City","10024","DJ-13510"
"US-2016-139262","2019-02-21","2019-02-25","Standard Class","Florida","Tampa","33614","LC-16960"
"CA-2016-166240","2019-06-24","2019-06-28","Standard Class","Texas","Houston","77095","DH-13075"
"CA-2017-167003","2020-05-23","2020-05-29","Standard Class","California","Los Angeles","90036","VS-21820"
"CA-2015-154620","2018-12-12","2018-12-16","Standard Class","California","Lancaster","93534","LT-17110"
"CA-2016-160815","2019-09-05","2019-09-06","First Class","Iowa","Cedar Rapids","52402","TR-21325"
"CA-2017-155712","2020-03-02","2020-03-08","Standard Class","California","Los Angeles","90008","KD-16615"
"CA-2016-169838","2019-11-25","2019-11-29","Standard Class","Michigan","Jackson","49201","BB-11545"
"US-2016-138408","2019-11-18","2019-11-21","Second Class","Alabama","Huntsville","35810","KC-16255"
"CA-2017-117436","2020-06-08","2020-06-14","Standard Class","Connecticut","Norwich","6360","LW-17125"
"CA-2016-154788","2019-04-30","2019-05-04","Standard Class","New York","New York City","10011","JL-15835"
"CA-2014-135755","2017-05-03","2017-05-10","Standard Class","New York","Yonkers","10701","NC-18415"
"CA-2014-163419","2017-11-11","2017-11-14","Second Class","Colorado","Louisville","80027","TZ-21580"
"CA-2014-166744","2017-09-20","2017-09-24","Standard Class","Maryland","Columbia","21044","DN-13690"
"CA-2015-162621","2018-09-05","2018-09-11","Standard Class","Texas","Houston","77036","CA-12055"
"CA-2016-134425","2019-12-08","2019-12-12","Second Class","Minnesota","Saint Paul","55106","QJ-19255"
"CA-2016-135776","2019-12-23","2019-12-30","Standard Class","Washington","Seattle","98103","EH-13765"
"CA-2015-136105","2018-06-12","2018-06-16","Standard Class","Indiana","Columbus","47201","SZ-20035"
"CA-2016-134222","2019-07-10","2019-07-11","Same Day","Arizona","Yuma","85364","NZ-18565"
"CA-2014-110786","2017-12-29","2018-01-02","Standard Class","California","San Francisco","94110","AJ-10795"
"CA-2014-139633","2017-12-17","2017-12-24","Standard Class","Ohio","Columbus","43229","EC-14050"
"CA-2017-160031","2020-12-04","2020-12-07","Second Class","Ohio","Fairfield","45014","LT-16765"
"CA-2016-157791","2019-12-23","2019-12-28","Second Class","Rhode Island","Warwick","2886","CA-11965"
"CA-2015-166583","2018-06-26","2018-06-30","Standard Class","Texas","Houston","77070","VD-21670"
"CA-2014-101931","2017-10-28","2017-10-31","First Class","California","Los Angeles","90049","TS-21370"
"CA-2016-165561","2019-11-24","2019-11-28","Standard Class","Washington","Bellevue","98006","CR-12580"
"CA-2014-152849","2017-07-05","2017-07-12","Standard Class","Tennessee","Knoxville","37918","DW-13195"
"CA-2017-117807","2020-10-01","2020-10-07","Standard Class","Nebraska","Fremont","68025","DK-13090"
"CA-2017-130148","2020-09-24","2020-09-28","Second Class","California","San Francisco","94110","NK-18490"
"CA-2017-145429","2020-07-21","2020-07-25","Standard Class","California","San Diego","92024","SW-20455"
"CA-2015-156377","2018-12-31","2019-01-05","Standard Class","Texas","Grand Prairie","75051","TB-21625"
"CA-2016-154998","2019-04-07","2019-04-09","First Class","New Jersey","Lakewood","8701","ES-14080"
"CA-2016-167584","2019-08-12","2019-08-12","Same Day","Iowa","Des Moines","50315","LC-16870"
"CA-2016-105473","2019-04-16","2019-04-18","Second Class","Washington","Seattle","98115","BM-11785"
