"product_id","category","subcategory","product_nm","price"
"FUR-BO-10000112","Furniture","Bookcases","Bush Birmingham Collection Bookcase, Dark Cherry",91.69
"FUR-BO-10000330","Furniture","Bookcases","Sauder Camden County Barrister Bookcase, Planked Cherry Finish",102.83
"FUR-BO-10000362","Furniture","Bookcases","Sauder Inglewood Library Bookcases",119.69
"FUR-BO-10000468","Furniture","Bookcases","O'Sullivan 2-Shelf Heavy-Duty Bookcases",14.57
"FUR-BO-10000711","Furniture","Bookcases","Hon Metal Bookcases, Gray",70.98
"FUR-BO-10000780","Furniture","Bookcases","O'Sullivan Plantations 2-Door Library in Landvery Oak",100.49
"FUR-BO-10001337","Furniture","Bookcases","O'Sullivan Living Dimensions 2-Shelf Bookcases",96.78
"FUR-BO-10001519","Furniture","Bookcases","O'Sullivan 3-Shelf Heavy-Duty Bookcases",29.07
"FUR-BO-10001567","Furniture","Bookcases","Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",30.29
"FUR-BO-10001601","Furniture","Bookcases","Sauder Mission Library with Doors, Fruitwood Finish",89.07
"FUR-BO-10001608","Furniture","Bookcases","Hon Metal Bookcases, Black",21.29
"FUR-BO-10001619","Furniture","Bookcases","O'Sullivan Cherrywood Estates Traditional Bookcase",67.98
"FUR-BO-10001798","Furniture","Bookcases","Bush Somerset Collection Bookcase",65.49
"FUR-BO-10001811","Furniture","Bookcases","Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",90.29
"FUR-BO-10001918","Furniture","Bookcases","Sauder Forest Hills Library with Doors, Woodland Oak Finish",80.49
"FUR-BO-10001972","Furniture","Bookcases","O'Sullivan 4-Shelf Bookcase in Odessa Pine",36.29
"FUR-BO-10002202","Furniture","Bookcases","Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",72.29
"FUR-BO-10002206","Furniture","Bookcases","Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",119.83
"FUR-BO-10002213","Furniture","Bookcases","Sauder Forest Hills Library, Woodland Oak Finish",112.78
"FUR-BO-10002268","Furniture","Bookcases","Sauder Barrister Bookcases",24.29
"FUR-BO-10002545","Furniture","Bookcases","Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",130.49
"FUR-BO-10002598","Furniture","Bookcases","Hon Metal Bookcases, Putty",56.78
"FUR-BO-10002613","Furniture","Bookcases","Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",84.29
"FUR-BO-10002824","Furniture","Bookcases","Bush Mission Pointe Library",102.67
"FUR-BO-10002853","Furniture","Bookcases","O'Sullivan 5-Shelf Heavy-Duty Bookcases",40.97
"FUR-BO-10002916","Furniture","Bookcases","Rush Hierlooms Collection 1"" Thick Stackable Bookcases",145.33
"FUR-BO-10003034","Furniture","Bookcases","O'Sullivan Elevations Bookcase, Cherry Finish",91.69
"FUR-BO-10003159","Furniture","Bookcases","Sauder Camden County Collection Libraries, Planked Cherry Finish",78.19
"FUR-BO-10003272","Furniture","Bookcases","O'Sullivan Living Dimensions 5-Shelf Bookcases",150.27
"FUR-BO-10003404","Furniture","Bookcases","Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",430.98
"FUR-BO-10003433","Furniture","Bookcases","Sauder Cornerstone Collection Library",15.49
"FUR-BO-10003441","Furniture","Bookcases","Bush Westfield Collection Bookcases, Fully Assembled",68.67
"FUR-BO-10003450","Furniture","Bookcases","Bush Westfield Collection Bookcases, Dark Cherry Finish",17.39
"FUR-BO-10003546","Furniture","Bookcases","Hon 4-Shelf Metal Bookcases",30.29
"FUR-BO-10003660","Furniture","Bookcases","Bush Cubix Collection Bookcases, Fully Assembled",66.29
"FUR-BO-10003893","Furniture","Bookcases","Sauder Camden County Collection Library",78.19
"FUR-BO-10003894","Furniture","Bookcases","Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",49.69
"FUR-BO-10003965","Furniture","Bookcases","O'Sullivan Manor Hill 2-Door Library in Brianna Oak",123.07
"FUR-BO-10003966","Furniture","Bookcases","Sauder Facets Collection Library, Sky Alder Finish",119.69
"FUR-BO-10004015","Furniture","Bookcases","Bush Andora Bookcase, Maple/Graphite Gray Finish",60.00
"FUR-BO-10004218","Furniture","Bookcases","Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",70.49
"FUR-BO-10004357","Furniture","Bookcases","O'Sullivan Living Dimensions 3-Shelf Bookcases",100.49
"FUR-BO-10004360","Furniture","Bookcases","Rush Hierlooms Collection Rich Wood Bookcases",109.47
"FUR-BO-10004409","Furniture","Bookcases","Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",35.49
"FUR-BO-10004467","Furniture","Bookcases","Bestar Classic Bookcase",30.00
"FUR-BO-10004690","Furniture","Bookcases","O'Sullivan Cherrywood Estates Traditional Barrister Bookcase",96.24
"FUR-BO-10004695","Furniture","Bookcases","O'Sullivan 2-Door Barrister Bookcase in Odessa Pine",90.49
"FUR-BO-10004709","Furniture","Bookcases","Bush Westfield Collection Bookcases, Medium Cherry Finish",28.99
"FUR-BO-10004834","Furniture","Bookcases","Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",440.49
"FUR-CH-10000015","Furniture","Chairs","Hon Multipurpose Stacking Arm Chairs",151.62
"FUR-CH-10000155","Furniture","Chairs","Global Comet Stacking Armless Chair",239.24
"FUR-CH-10000225","Furniture","Chairs","Global Geo Office Task Chair, Gray",56.69
"FUR-CH-10000229","Furniture","Chairs","Global Enterprise Series Seating High-Back Swivel/Tilt Chairs",189.69
"FUR-CH-10000309","Furniture","Chairs","Global Comet Stacking Arm Chair",295.76
"FUR-CH-10000422","Furniture","Chairs","Global Highback Leather Tilter in Burgundy",63.69
"FUR-CH-10000454","Furniture","Chairs","Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",170.79
"FUR-CH-10000513","Furniture","Chairs","High-Back Leather Manager's Chair",90.99
"FUR-CH-10000553","Furniture","Chairs","Metal Folding Chairs, Beige, 4/Carton",23.76
"FUR-CH-10000595","Furniture","Chairs","Safco Contoured Stacking Chairs",190.72
"FUR-CH-10000665","Furniture","Chairs","Global Airflow Leather Mesh Back Chair, Black",105.69
"FUR-CH-10000749","Furniture","Chairs","Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms",144.78
"FUR-CH-10000785","Furniture","Chairs","Global Ergonomic Managers Chair",126.69
"FUR-CH-10000847","Furniture","Chairs","Global Executive Mid-Back Manager's Chair",203.69
"FUR-CH-10000863","Furniture","Chairs","Novimex Swivel Fabric Task Chair",105.69
"FUR-CH-10000988","Furniture","Chairs","Hon Olson Stacker Stools",98.57
"FUR-CH-10001146","Furniture","Chairs","Global Task Chair, Black",35.62
"FUR-CH-10001190","Furniture","Chairs","Global Deluxe High-Back Office Chair in Storm",108.79
"FUR-CH-10001215","Furniture","Chairs","Global Troy Executive Leather Low-Back Tilter",350.69
"FUR-CH-10001270","Furniture","Chairs","Harbour Creations Steel Folding Chair",60.38
"FUR-CH-10001394","Furniture","Chairs","Global Leather Executive Chair",245.69
"FUR-CH-10001482","Furniture","Chairs","Office Star - Mesh Screen back chair with Vinyl seat",91.69
"FUR-CH-10001545","Furniture","Chairs","Hon Comfortask Task/Swivel Chairs",79.79
"FUR-CH-10001708","Furniture","Chairs","Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back",98.69
"FUR-CH-10001714","Furniture","Chairs","Global Leather & Oak Executive Chair, Burgundy",105.62
"FUR-CH-10001797","Furniture","Chairs","Safco Chair Connectors, 6/Carton",26.94
"FUR-CH-10001802","Furniture","Chairs","Hon Every-Day Chair Series Swivel Task Chairs",84.69
"FUR-CH-10001854","Furniture","Chairs","Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat",280.78
"FUR-CH-10001891","Furniture","Chairs","Global Deluxe Office Fabric Chairs",76.78
"FUR-CH-10001973","Furniture","Chairs","Office Star Flex Back Scooter Chair with White Frame",77.69
"FUR-CH-10002017","Furniture","Chairs","SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair",18.65
"FUR-CH-10002024","Furniture","Chairs","HON 5400 Series Task Chairs for Big and Tall",490.69
"FUR-CH-10002044","Furniture","Chairs","Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",91.69
"FUR-CH-10002073","Furniture","Chairs","Hon Olson Stacker Chairs",211.82
"FUR-CH-10002084","Furniture","Chairs","Hon Mobius Operator's Chair",110.69
"FUR-CH-10002126","Furniture","Chairs","Hon Deluxe Fabric Upholstered Stacking Chairs",170.79
"FUR-CH-10002304","Furniture","Chairs","Global Stack Chair without Arms, Black",18.19
"FUR-CH-10002317","Furniture","Chairs","Global Enterprise Series Seating Low-Back Swivel/Tilt Chairs",207.18
"FUR-CH-10002320","Furniture","Chairs","Hon Pagoda Stacking Chairs",256.78
"FUR-CH-10002331","Furniture","Chairs","Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms",249.19
"FUR-CH-10002335","Furniture","Chairs","Hon GuestStacker Chair",181.34
"FUR-CH-10002372","Furniture","Chairs","Office Star - Ergonomically Designed Knee Chair",56.69
"FUR-CH-10002439","Furniture","Chairs","Iceberg Nesting Folding Chair, 19w x 6d x 43h",46.58
"FUR-CH-10002602","Furniture","Chairs","DMI Arturo Collection Mission-style Design Wood Chair",105.69
"FUR-CH-10002647","Furniture","Chairs","Situations Contoured Folding Chairs, 4/Set",49.69
"FUR-CH-10002758","Furniture","Chairs","Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back",170.79
"FUR-CH-10002774","Furniture","Chairs","Global Deluxe Stacking Chair, Gray",35.69
"FUR-CH-10002780","Furniture","Chairs","Office Star - Task Chair with Contemporary Loop Arms",72.78
"FUR-CH-10002880","Furniture","Chairs","Global High-Back Leather Tilter, Burgundy",86.09
"FUR-CH-10002961","Furniture","Chairs","Leather Task Chair, Black",63.69
"FUR-CH-10002965","Furniture","Chairs","Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",140.69
"FUR-CH-10003061","Furniture","Chairs","Global Leather Task Chair, Black",71.99
"FUR-CH-10003199","Furniture","Chairs","Office Star - Contemporary Task Swivel Chair",77.69
"FUR-CH-10003298","Furniture","Chairs","Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",91.69
"FUR-CH-10003312","Furniture","Chairs","Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs",196.69
"FUR-CH-10003379","Furniture","Chairs","Global Commerce Series High-Back Swivel/Tilt Chairs",199.49
"FUR-CH-10003396","Furniture","Chairs","Global Deluxe Steno Chair",53.89
"FUR-CH-10003535","Furniture","Chairs","Global Armless Task Chair, Royal Blue",42.69
"FUR-CH-10003606","Furniture","Chairs","SAFCO Folding Chair Trolley",89.77
"FUR-CH-10003746","Furniture","Chairs","Hon 4070 Series Pagoda Round Back Stacking Chairs",224.69
"FUR-CH-10003761","Furniture","Chairs","Global Italian Leather Office Chair",91.69
"FUR-CH-10003774","Furniture","Chairs","Global Wood Trimmed Manager's Task Chair, Khaki",63.69
"FUR-CH-10003817","Furniture","Chairs","Global Value Steno Chair, Gray",42.52
"FUR-CH-10003833","Furniture","Chairs","Novimex Fabric Task Chair",42.69
"FUR-CH-10003846","Furniture","Chairs","Hon Valutask Swivel Chairs",80.78
"FUR-CH-10003956","Furniture","Chairs","Novimex High-Tech Fabric Mesh Task Chair",56.78
"FUR-CH-10003968","Furniture","Chairs","Novimex Turbo Task Chair",56.78
"FUR-CH-10003973","Furniture","Chairs","GuestStacker Chair with Chrome Finish Legs",260.23
"FUR-CH-10003981","Furniture","Chairs","Global Commerce Series Low-Back Swivel/Tilt Chairs",179.89
"FUR-CH-10004063","Furniture","Chairs","Global Deluxe High-Back Manager's Chair",200.19
"FUR-CH-10004086","Furniture","Chairs","Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs",204.21
"FUR-CH-10004218","Furniture","Chairs","Global Fabric Manager's Chair, Dark Gray",70.69
"FUR-CH-10004287","Furniture","Chairs","SAFCO Arco Folding Chair",193.34
"FUR-CH-10004289","Furniture","Chairs","Global Super Steno Chair",67.19
"FUR-CH-10004477","Furniture","Chairs","Global Push Button Manager's Chair, Indigo",42.62
"FUR-CH-10004495","Furniture","Chairs","Global Leather and Oak Executive Chair, Black",210.69
"FUR-CH-10004540","Furniture","Chairs","Global Chrome Stack Chair",24.00
"FUR-CH-10004626","Furniture","Chairs","Office Star Flex Back Scooter Chair with Aluminum Finish Frame",80.71
"FUR-CH-10004675","Furniture","Chairs","Lifetime Advantage Folding Chairs, 4/Carton",152.66
"FUR-CH-10004698","Furniture","Chairs","Padded Folding Chairs, Black, 4/Carton",56.69
"FUR-CH-10004754","Furniture","Chairs","Global Stack Chair with Arms, Black",20.99
"FUR-CH-10004853","Furniture","Chairs","Global Manager's Adjustable Task Chair, Storm",105.69
"FUR-CH-10004860","Furniture","Chairs","Global Low Back Tilter Chair",70.69
"FUR-CH-10004875","Furniture","Chairs","Harbour Creations 67200 Series Stacking Chairs",49.83
"FUR-CH-10004886","Furniture","Chairs","Bevis Steel Folding Chairs",67.17
"FUR-CH-10004983","Furniture","Chairs","Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms",112.69
"FUR-CH-10004997","Furniture","Chairs","Hon Every-Day Series Multi-Task Chairs",131.59
"FUR-FU-10000010","Furniture","Furnishings","DAX Value U-Channel Document Frames, Easel Back",1.99
"FUR-FU-10000023","Furniture","Furnishings","Eldon Wave Desk Accessories",2.36
"FUR-FU-10000073","Furniture","Furnishings","Deflect-O Glasstique Clear Desk Accessories",6.16
"FUR-FU-10000076","Furniture","Furnishings","24-Hour Round Wall Clock",15.98
"FUR-FU-10000087","Furniture","Furnishings","Executive Impressions 14"" Two-Color Numerals Wall Clock",18.18
"FUR-FU-10000175","Furniture","Furnishings","DAX Wood Document Frame.",5.49
"FUR-FU-10000193","Furniture","Furnishings","Tenex Chairmats For Use with Hard Floors",12.99
"FUR-FU-10000206","Furniture","Furnishings","GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",1.16
"FUR-FU-10000221","Furniture","Furnishings","Master Caster Door Stop, Brown",2.03
"FUR-FU-10000222","Furniture","Furnishings","Seth Thomas 16"" Steel Case Clock",12.99
"FUR-FU-10000246","Furniture","Furnishings","Aluminum Document Frame",9.78
"FUR-FU-10000260","Furniture","Furnishings","6"" Cubicle Wall Clock, Black",3.24
